"subid","condition","newIndex","grain"
14,"Jumbled",1,"c"
55144,"Uninterrupted",2,"f"
29,"Interrupted",3,"f"
24,"Jumbled",4,"c"
53890,"Uninterrupted",5,"f"
53,"Interrupted",6,"f"
52,"Jumbled",7,"c"
49546,"Uninterrupted",8,"f"
3,"Interrupted",9,"f"
38,"Jumbled",10,"f"
62590,"Uninterrupted",11,"c"
55819,"Uninterrupted",12,"c"
48,"Jumbled",13,"f"
15,"Interrupted",14,"c"
22,"Jumbled",15,"c"
63229,"Uninterrupted",16,"f"
30,"Jumbled",17,"f"
55006,"Uninterrupted",18,"f"
62,"Jumbled",19,"f"
49,"Interrupted",20,"c"
57592,"Uninterrupted",21,"c"
43318,"Uninterrupted",22,"c"
43,"Interrupted",23,"c"
60466,"Uninterrupted",24,"f"
39,"Interrupted",25,"f"
41,"Interrupted",26,"c"
60,"Jumbled",27,"c"
60982,"Uninterrupted",28,"c"
61582,"Uninterrupted",29,"c"
16,"Jumbled",30,"c"
40,"Jumbled",31,"f"
11,"Interrupted",32,"c"
37,"Interrupted",33,"f"
55,"Interrupted",34,"f"
52327,"Uninterrupted",35,"c"
56,"Jumbled",36,"f"
26,"Jumbled",37,"c"
62374,"Uninterrupted",38,"c"
46,"Jumbled",39,"f"
46900,"Uninterrupted",40,"c"
7,"Interrupted",41,"f"
51,"Interrupted",42,"c"
57,"Interrupted",43,"c"
35,"Interrupted",44,"c"
33,"Interrupted",45,"c"
60010,"Uninterrupted",46,"c"
5,"Interrupted",47,"f"
12,"Jumbled",48,"c"
63925,"Uninterrupted",49,"f"
52591,"Uninterrupted",50,"c"
2,"Jumbled",51,"f"
59,"Interrupted",52,"c"
58,"Jumbled",53,"c"
48334,"Uninterrupted",54,"f"
60232,"Uninterrupted",55,"f"
10,"Jumbled",56,"f"
45,"Interrupted",57,"f"
27,"Interrupted",58,"f"
6,"Jumbled",59,"f"
25,"Interrupted",60,"c"
54994,"Uninterrupted",61,"c"
63457,"Uninterrupted",62,"c"
47,"Interrupted",63,"f"
19,"Interrupted",64,"c"
62293,"Uninterrupted",65,"c"
21,"Interrupted",66,"c"
63,"Interrupted",67,"f"
1,"Interrupted",68,"f"
42,"Jumbled",69,"c"
4,"Jumbled",70,"f"
36,"Jumbled",71,"c"
67,"Uninterrupted",72,"f"
8,"Jumbled",73,"f"
50,"Jumbled",74,"c"
31,"Interrupted",75,"f"
9,"Interrupted",76,"f"
64,"Jumbled",77,"f"
63784,"Uninterrupted",78,"f"
32,"Jumbled",79,"f"
13,"Interrupted",80,"c"
61,"Interrupted",81,"f"
28,"Jumbled",82,"f"
47710,"Uninterrupted",83,"f"
62494,"Uninterrupted",84,"f"
54,"Jumbled",85,"f"
63007,"Uninterrupted",86,"f"
20,"Jumbled",87,"f"
18,"Jumbled",88,"c"
51184,"Uninterrupted",89,"f"
23,"Interrupted",90,"c"
44,"Jumbled",91,"c"
51727,"Uninterrupted",92,"f"
17,"Interrupted",93,"c"
66,"Uninterrupted",94,"c"
